Gene_name GCF_000007765.2_ASM776v2_genomic.gff GCF_000017105.1_ASM1710v1_genomic.gff GCF_000018745.1_ASM1874v1_genomic.gff GCF_000019865.1_ASM1986v1_genomic.gff GCF_000019885.1_ASM1988v1_genomic.gff GCF_000168875.3_ASM16887v3_genomic.gff GCF_000367725.2_Z3055_genomic.gff GCF_001572745.1_ASM157274v1_genomic.gff GCF_002094935.1_ASM209493v1_genomic.gff GCF_002109345.1_ASM210934v1_genomic.gff GCF_004006195.1_ASM400619v1_genomic.gff GCF_004087735.1_ASM408773v1_genomic.gff GCF_005280755.1_ASM528075v1_genomic.gff
wbgU_2 1 1 1 1 1 1 1 1 1 1 1 1 1
wbpA 1 1 1 1 1 1 1 1 1 1 1 1 1
tuaD 1 1 1 1 1 1 1 1 1 1 1 1 1
pgi 1 1 1 1 1 1 1 1 1 1 1 1 1
gtaB 1 1 1 1 1 1 1 1 1 1 1 1 1
rpsO 1 1 1 1 1 1 1 1 1 1 1 1 1
pnp 1 1 1 1 1 1 1 1 1 1 1 1 1
mgsA 1 1 1 1 1 1 1 1 1 1 1 1 1
msbA 1 1 1 1 1 1 1 1 1 1 1 1 1
lpxK 1 1 1 1 1 1 1 1 1 1 1 1 1
nadE 1 1 1 1 1 1 1 1 1 1 1 1 1
rpsF 1 1 1 1 1 1 1 1 1 1 1 1 1
rpsR 1 1 1 1 1 1 1 1 1 1 1 1 1
rplI 1 1 1 1 1 1 1 1 1 1 1 1 1
alr-1 1 1 1 1 1 1 1 1 1 1 1 1 1
sdhE 1 1 1 1 1 1 1 1 1 1 1 1 1
udk 1 1 1 1 1 1 1 1 1 1 1 1 1
smrA 1 1 1 1 1 1 1 1 1 1 1 1 1
aroC 1 1 1 1 1 1 1 1 1 1 1 1 1
asd2 1 1 1 1 1 1 1 1 1 1 1 1 1
moeZ 1 1 1 1 1 1 1 1 1 1 1 1 1
typA 1 1 1 1 1 1 1 1 1 1 1 1 1
coaBC 1 1 1 1 1 1 1 1 1 1 1 1 1
bdbC 1 1 1 1 1 1 1 1 1 1 1 1 1
truA 1 1 1 1 1 1 1 1 1 1 1 1 1
accD 1 1 1 1 1 1 1 1 1 1 1 1 1
folC 1 1 1 1 1 1 1 1 1 1 1 1 1
dedD 1 1 1 1 1 1 1 1 1 1 1 1 1
cvpA 1 1 1 1 1 1 1 1 1 1 1 1 1
purF 1 1 1 1 1 1 1 1 1 1 1 1 1
dusA 1 1 1 1 1 1 1 1 1 1 1 1 1
rpmE 1 1 1 1 1 1 1 1 1 1 1 1 1
yciB 1 1 1 1 1 1 1 1 1 1 1 1 1
yciO 1 1 1 1 1 1 1 1 1 1 1 1 1
prpD 1 1 1 1 1 1 1 1 1 1 1 1 1
smc_2 1 1 0 0 1 1 0 0 0 0 0 0 0
kup_1 1 0 1 0 0 0 1 1 1 1 1 1 1
kup_2 1 0 1 0 0 0 1 1 1 1 1 1 1
trmR 1 1 1 0 1 1 1 1 1 1 1 1 1
mmsB 1 1 1 1 1 1 1 1 1 1 1 1 1
bauC 1 1 0 0 1 1 1 1 1 1 1 1 1
pdxH 1 1 1 1 1 1 1 1 1 1 1 1 1
eryB 1 1 1 1 1 1 1 1 1 1 1 1 1
glpK 1 1 1 1 1 1 0 0 1 1 0 1 1
yadH 1 1 1 1 1 1 1 1 1 1 1 1 1
yadG 1 1 1 1 1 1 1 1 1 1 1 1 1
trmB 1 1 1 1 1 1 1 1 1 1 1 1 1
mutY 1 1 1 1 1 1 1 1 1 1 1 1 1
glpE_2 1 1 1 1 1 1 1 1 1 1 1 1 1
csy1_2 1 1 0 1 0 0 1 1 1 1 1 1 1
cas3_3 1 1 1 1 0 0 1 1 1 1 1 1 1
cas3_4 1 1 1 1 0 0 0 0 1 1 0 1 1
cas1_3 1 0 1 0 0 0 1 1 1 1 1 1 1
cas1_4 1 0 1 0 0 0 0 0 1 1 0 1 1
nudC 1 1 1 0 1 1 1 1 1 1 1 1 1
uvrY_2 1 1 1 1 1 1 1 1 1 1 1 1 1
bcr_1 1 1 0 1 1 1 0 0 1 1 0 1 1
sutR 1 1 1 1 1 1 1 1 1 1 1 1 1
bcp 1 1 1 1 1 1 1 1 1 1 1 1 1
cydA_2 1 1 1 1 1 1 1 1 1 1 1 1 1
cydB_2 1 1 1 1 1 1 1 1 1 1 1 1 1
pld 1 1 1 1 1 1 1 1 1 1 1 1 1
pyrD 1 1 1 1 1 1 1 1 1 1 1 1 1
acdA 1 1 1 1 1 1 1 1 1 1 1 1 1
thlA 1 1 1 1 1 1 1 1 1 1 1 1 1
accA1 1 1 1 1 1 1 1 1 1 1 1 1 1
aroG 1 1 1 1 1 1 1 1 1 1 1 1 1
pheA_1 1 1 0 1 1 1 1 0 1 1 0 1 1
pheA_2 1 1 0 1 1 1 1 0 1 1 0 1 1
rlmB 1 1 1 1 1 1 1 1 1 1 1 1 1
rlpA 1 1 1 1 1 1 1 1 1 1 1 1 1
ung 1 1 1 1 1 1 1 1 1 1 1 1 1
def1 1 1 1 1 1 1 1 1 1 1 1 1 1
ctaB 1 1 1 1 1 1 1 1 1 1 1 1 1
purA 1 1 1 1 1 1 1 0 1 1 0 1 1
hflX 1 1 1 1 1 1 1 1 1 1 1 1 1
lolD 1 1 1 1 1 1 1 1 1 1 1 1 1
lolE 1 1 1 1 1 1 1 1 1 1 1 1 1
birA 1 1 1 1 1 1 1 1 1 1 1 1 1
bioD1 1 1 1 1 1 1 1 1 1 1 1 1 1
tam_2 1 1 1 1 1 1 1 1 1 1 1 1 1
bioH 1 1 1 1 1 1 1 1 1 1 1 1 1
bioF 1 1 1 1 1 1 1 1 1 1 1 1 1
bioB 1 1 1 1 1 1 1 1 1 1 1 1 1
bioA 1 1 1 1 1 1 1 1 1 1 1 1 1
crcB 1 1 1 1 1 1 1 1 1 1 1 1 1
qorA 1 1 0 1 1 1 0 0 1 1 0 1 1
tycB 1 0 0 1 1 1 0 0 1 1 0 1 1
btrK 1 0 1 1 1 1 1 1 1 1 1 1 1
pgsA 1 1 1 1 1 1 1 1 1 1 1 1 1
pncB2 1 1 1 1 1 1 1 1 1 1 1 1 1
pncA 1 1 1 1 1 1 1 1 1 1 1 1 1
mdtC_1 1 0 1 0 0 0 1 1 1 1 1 1 1
mdtC_2 1 0 1 0 0 0 1 1 1 1 1 1 1
cyoD 1 1 1 1 1 1 1 1 1 1 1 1 1
cyoC 1 1 1 1 1 1 1 1 1 1 1 1 1
cyoB 1 1 1 1 1 1 1 1 1 1 1 1 1
cyoA 1 1 1 1 1 1 1 1 1 1 1 1 1
uvrY_3 1 1 1 1 1 1 1 1 1 1 1 1 1
csrA_2 1 1 1 1 1 1 1 1 1 1 1 1 1
alaS 1 1 1 1 1 1 1 1 1 1 1 1 1
recX 1 1 1 1 1 1 1 1 1 1 1 1 1
recA 1 1 1 1 1 1 1 1 1 1 1 1 1
pncC 1 1 1 1 1 1 1 1 1 1 1 1 1
mutS 1 1 1 1 1 1 1 1 1 1 1 1 1
arnC 1 1 1 1 1 1 1 1 1 1 1 1 1
rluB 1 1 1 1 1 1 1 1 1 1 1 1 1
scpB 1 1 1 1 1 1 1 1 1 1 1 1 1
scpA 1 1 1 1 1 1 1 1 1 1 1 1 1
ytlP 1 1 1 1 0 0 1 1 1 1 1 1 1
ttcA 1 1 1 1 1 1 1 1 1 1 1 1 1
yphA 1 1 1 1 1 1 1 1 1 1 1 1 1
tgt 1 1 1 1 1 1 1 1 1 1 1 1 1
ynaI 1 1 1 1 1 1 1 1 1 1 1 1 1
nagZ 1 1 1 1 1 1 1 1 1 1 1 1 1
miaA 1 1 1 1 1 1 1 1 1 1 1 1 1
mutL 1 1 1 1 1 1 1 1 1 1 1 1 1
rcsC_3 1 1 1 1 1 1 1 1 1 1 1 1 1
amiC 1 1 1 1 1 1 1 1 1 1 1 1 1
tsaE 1 1 1 1 1 1 1 1 1 1 1 1 1
nnr 1 1 1 1 1 1 1 1 1 1 1 1 1
rnr 1 1 1 1 1 1 1 1 1 1 1 1 1
bepE_3 1 1 1 1 1 1 1 1 1 1 1 1 1
mdtA_3 1 1 1 1 1 1 1 1 1 1 1 1 1
fumC 1 1 1 1 1 1 1 1 1 1 1 1 1
aldB 1 1 1 1 1 1 1 1 1 1 1 1 1
lepB_1 1 1 1 1 1 1 1 1 1 1 1 1 1
mltD_2 1 1 0 1 1 1 1 0 1 1 0 1 1
ald 1 1 1 1 1 1 1 1 1 1 1 1 1
fixB 1 1 1 1 1 1 1 1 1 1 1 1 1
etfB 1 1 1 1 1 1 1 1 1 1 1 1 1
cbpA 1 1 1 1 1 1 1 1 1 1 1 1 1
cbpM 1 1 1 1 1 1 1 1 1 1 1 1 1
iscU 1 1 1 1 1 1 1 1 1 1 1 1 1
iscS_1 1 1 1 1 1 1 1 1 1 1 1 1 1
trmJ 1 1 1 1 1 1 1 1 1 1 1 1 1
suhB 1 1 1 1 1 1 1 1 1 1 1 1 1
secF 1 1 1 1 1 1 1 1 1 1 1 1 1
secD 1 1 1 1 1 1 1 1 1 1 1 1 1
yajC 1 1 1 1 1 1 1 1 1 1 1 1 1
mnmA 1 1 1 1 1 1 1 1 1 1 1 1 1
mfd 1 1 1 1 1 1 1 1 1 1 1 1 1
pabB_1 1 1 0 0 0 0 1 0 1 1 0 1 1
trpD_1 1 0 0 0 1 1 0 0 1 1 0 1 1
trpD_2 1 0 0 0 1 1 0 0 1 1 0 1 1
trpD_3 1 0 0 0 0 0 0 0 1 1 0 1 1
trpC 1 1 1 1 1 1 1 1 1 1 1 1 1
trpB 1 1 1 1 1 1 1 1 1 1 1 1 1
trpA 1 1 1 0 1 1 1 1 1 1 1 1 1
erg_1 1 1 1 0 1 1 1 1 1 1 1 1 1
rtcB 1 1 1 1 1 1 1 1 1 1 1 1 1
phrA 1 1 0 1 1 1 0 0 1 1 0 1 1
bcr_2 1 1 0 1 1 1 0 0 1 1 0 1 1
thiI 1 1 1 1 1 1 1 1 1 1 1 1 1
iscS_2 1 1 1 1 1 1 1 1 1 1 1 1 1
uvrC 1 1 1 1 1 1 1 1 1 1 1 1 1
serS 1 1 1 1 1 1 1 1 1 1 1 1 1
rarA 1 1 1 1 1 1 1 1 1 1 1 1 1
lolA 1 1 1 1 1 1 1 1 1 1 1 1 1
ftsK 1 1 1 1 1 1 1 1 1 1 1 1 1
trxB 1 1 1 1 1 1 1 1 1 1 1 1 1
infA 1 1 1 1 1 1 1 1 1 1 1 1 1
clpA 1 1 1 1 1 1 1 1 1 1 1 1 1
icd 1 1 1 1 1 1 1 1 1 1 1 1 1
queA 1 1 1 1 1 1 1 1 1 1 1 1 1
sad 1 1 1 1 0 0 1 1 1 1 1 1 1
erg_2 1 1 1 0 1 1 1 1 1 1 1 1 1
mdtG 1 0 1 1 1 1 1 1 1 1 1 1 1
purC 1 1 1 1 1 1 1 1 1 1 1 1 1
dapA 1 1 1 1 1 1 1 1 1 1 1 1 1
kdgK 1 1 1 1 1 1 1 1 1 1 1 1 1
dhaAF 1 1 1 1 1 1 1 1 1 1 1 1 1
gdhB 1 1 1 1 1 1 1 1 1 1 1 1 1
qseB 1 1 1 1 1 1 1 1 1 1 1 1 1
sasA 1 1 1 1 1 1 1 1 1 1 1 1 1
addA 1 1 1 1 1 1 1 1 1 1 1 1 1
orn 1 1 1 1 1 1 1 1 1 1 1 1 1
plsY 1 1 1 1 1 1 1 1 1 1 1 1 1
tsaD 1 1 1 1 1 1 1 1 1 1 1 1 1
mdh 1 1 1 1 1 1 1 1 1 1 1 1 1
xseA 1 1 1 1 1 1 1 1 1 1 1 1 1
qacA 1 1 1 1 1 1 1 1 1 1 1 1 1
der 1 1 1 1 1 1 1 1 1 1 1 1 1
hisS 1 1 1 1 1 1 1 1 1 1 1 1 1
rodZ 1 1 1 1 1 1 1 1 1 1 1 1 1
rlmN 1 1 1 1 1 1 1 1 1 1 1 1 1
ndk 1 1 1 1 1 1 1 1 1 1 1 1 1
nhaK 1 1 1 1 1 1 1 1 1 1 1 1 1
dacC 1 1 1 1 1 1 1 1 1 1 1 1 1
lipB 1 1 1 1 1 1 1 1 1 1 1 1 1
lipA 1 1 1 1 1 1 1 1 1 1 1 1 1
scvA 1 1 1 1 1 1 1 1 1 1 1 1 1
pfp 1 1 1 1 1 1 1 1 1 1 1 1 1
kduD 1 1 1 0 0 0 1 1 1 1 1 1 1
eda 1 1 1 1 1 1 1 1 1 1 1 1 1
resA 1 1 1 1 1 1 1 1 1 1 1 1 1
greA 1 1 1 1 1 1 1 1 1 1 1 1 1
carB 1 1 1 1 1 1 1 1 1 1 1 1 1
carA 1 1 1 1 1 1 1 1 1 1 1 1 1
mdtD_2 1 0 1 0 0 0 1 1 1 1 1 1 1
stp 1 0 1 0 0 0 1 1 1 1 1 1 1
dnaJ 1 0 1 1 1 1 1 1 1 1 1 1 1
dnaK 1 1 1 1 1 1 1 1 1 1 1 1 1
grpE 1 1 1 1 1 1 1 1 1 1 1 1 1
vapC 1 1 1 1 1 1 1 1 1 1 1 1 1
nadK 1 1 1 1 1 1 1 1 1 1 1 1 1
recN 1 1 1 1 1 1 1 1 1 1 1 1 1
fur 1 1 1 1 1 1 1 1 1 1 1 1 1
bamE 1 1 1 1 1 1 1 1 1 1 1 1 1
pasT 1 1 1 1 1 1 1 1 1 1 1 1 1
smpB 1 1 1 1 1 1 1 1 1 1 1 1 1
msrA 1 1 1 1 1 1 1 1 1 1 1 1 1
ssrA 1 1 1 1 1 1 1 1 1 1 1 1 1
ihfA 1 1 1 1 1 1 1 1 1 1 1 1 1
pheT 1 1 1 1 1 1 1 1 1 1 1 1 1
pheS 1 1 1 1 1 1 1 1 1 1 1 1 1
rplT 1 1 1 1 1 1 1 1 1 1 1 1 1
rpmI 1 1 1 1 1 1 1 1 1 1 1 1 1
infC 1 1 1 1 1 1 1 1 1 1 1 1 1
thrS 1 1 1 1 1 1 1 1 1 1 1 1 1
hrp1 1 0 1 1 1 1 1 1 1 1 1 1 1
yeeA 1 1 1 1 1 1 1 1 1 1 1 1 1
dnaE 1 1 1 1 1 1 1 1 1 1 1 1 1
ddl 1 1 1 1 1 1 1 1 1 1 1 1 1
rnhB 1 1 1 1 1 1 1 1 1 1 1 1 1
guaA 1 1 1 1 1 1 1 1 1 1 1 1 1
guaB 1 1 1 1 1 1 1 1 1 1 1 1 1
treA 1 1 0 1 1 1 0 0 1 1 0 1 1
gadC_1 1 1 1 1 1 1 1 1 1 1 1 1 1
glmM 1 1 1 1 1 1 1 1 1 1 1 1 1
folP 1 1 1 1 1 1 1 1 1 1 1 1 1
ftsH 1 1 1 1 1 1 1 1 1 1 1 1 1
rlmE 1 1 1 1 1 1 1 1 1 1 1 1 1
iscA 1 1 1 1 1 1 1 1 1 1 1 1 1
sufU 1 1 1 1 1 1 1 1 1 1 1 1 1
sufS 1 1 1 1 1 1 1 1 1 1 1 1 1
sufD 1 1 1 1 1 1 1 1 1 1 1 1 1
sufC 1 1 1 1 1 1 1 1 1 1 1 1 1
sufB 1 1 1 1 0 0 1 1 1 1 1 1 1
cymR 1 1 1 1 0 0 1 1 1 1 1 1 1
fieF 1 1 1 1 1 1 1 1 1 1 1 1 1
polC 1 1 1 1 1 1 1 1 1 1 1 1 1
tsaB 1 1 1 1 1 1 1 1 1 1 1 1 1
pabB_2 1 1 0 0 0 0 1 0 1 1 0 1 1
guaD_2 1 0 0 0 1 1 1 0 1 1 0 1 1
relA 1 1 1 1 1 1 1 1 1 1 1 1 1
rseP 1 0 1 1 0 0 1 1 1 1 1 1 1
cdsA 1 1 1 1 1 1 1 1 1 1 1 1 1
ispU 1 1 1 1 1 1 1 1 1 1 1 1 1
frr 1 1 1 1 1 1 1 1 1 1 1 1 1
pyrH 1 1 1 1 1 1 1 1 1 1 1 1 1
tsf 1 1 1 1 1 1 1 1 1 1 1 1 1
map 1 1 1 1 1 1 1 1 1 1 1 1 1
cysH 1 1 1 0 1 1 1 1 1 1 1 1 1
yitD 1 1 1 0 0 0 1 1 1 1 1 1 1
comB 1 1 1 0 1 1 1 1 1 1 1 1 1
grsB 1 1 1 0 1 1 0 0 1 1 0 1 1
sucD 1 1 1 1 1 1 1 1 1 1 1 1 1
sucC 1 1 1 1 1 1 1 1 1 1 1 1 1
sucB 1 1 1 1 1 1 1 1 1 1 1 1 1
sucA 1 1 1 1 1 1 1 1 1 1 1 1 1
sdhB 1 1 1 1 1 1 1 1 1 1 1 1 1
sdhA 1 1 1 1 1 1 1 1 1 1 1 1 1
sdhD 1 1 1 1 1 1 1 1 1 1 1 1 1
sdhC 1 1 1 1 1 1 1 1 1 1 1 1 1
gltA 1 1 1 1 1 1 1 1 1 1 1 1 1
thiL 1 1 1 1 1 1 1 1 1 1 1 1 1
nusB 1 1 1 1 1 1 1 1 1 1 1 1 1
nrdR 1 1 1 1 1 1 1 1 1 1 1 1 1
glyA 1 1 1 1 1 1 1 1 1 1 1 1 1
radA 1 1 1 1 1 1 1 1 1 1 1 1 1
hemB 1 1 1 1 1 1 1 1 1 1 1 1 1
truB 1 1 1 1 1 1 1 1 1 1 1 1 1
rbfA 1 1 1 1 1 1 1 1 1 1 1 1 1
infB 1 1 1 1 1 1 1 1 1 1 1 1 1
nusA 1 1 1 1 1 1 1 1 1 1 1 1 1
rimP 1 1 1 1 1 1 1 1 1 1 1 1 1
nuoN 1 1 1 1 1 1 1 1 1 1 1 1 1
nuoM 1 1 1 1 1 1 1 1 1 1 1 1 1
nuoL 1 1 1 1 1 1 1 1 1 1 1 1 1
nuoK 1 1 1 1 1 1 1 1 1 1 1 1 1
nuoJ 1 1 1 1 1 1 1 1 1 1 1 1 1
nuoI 1 1 1 1 1 1 1 1 1 1 1 1 1
nuoH 1 1 1 1 1 1 1 1 1 1 1 1 1
nqo3 1 1 1 1 1 1 1 1 1 1 1 1 1
nuoF 1 1 1 1 1 1 1 1 1 1 1 1 1
nqo2 1 1 1 1 1 1 1 1 1 1 1 1 1
nuoD 1 1 1 1 1 1 1 1 1 1 1 1 1
ndhJ 1 1 1 1 1 1 1 1 1 1 1 1 1
nuoB 1 1 1 1 1 1 1 1 1 1 1 1 1
ndhC 1 1 1 1 1 1 1 1 1 1 1 1 1
secG 1 1 1 1 1 1 1 1 1 1 1 1 1
tpiA 1 1 1 1 1 1 1 1 1 1 1 1 1
surA_1 1 1 1 1 1 1 1 1 1 1 1 1 1
hupB 1 1 1 1 1 1 1 1 1 1 1 1 1
tldD 1 1 1 1 1 1 1 1 1 1 1 1 1
mreD 1 1 1 1 1 1 1 1 1 1 1 1 1
mreC 1 1 1 1 1 1 1 1 1 1 1 1 1
mreB 1 1 1 1 1 1 1 1 1 1 1 1 1
gatC 1 1 1 1 1 1 1 1 1 1 1 1 1
gatA 1 1 1 1 1 1 1 1 1 1 1 1 1
gatB 1 1 1 1 1 1 1 1 1 1 1 1 1
oxyR 1 1 1 1 1 1 1 1 1 1 1 1 1
ahpD 1 1 1 1 1 1 1 1 1 1 1 1 1
garP 1 1 1 1 1 1 1 1 1 1 1 1 1
cysS 1 1 1 1 1 1 1 1 1 1 1 1 1
gltX1 1 1 1 1 1 1 1 1 1 1 1 1 1
lpxH 1 1 1 1 1 1 0 1 1 1 1 1 1
pdxJ 1 1 1 1 1 1 1 1 1 1 1 0 1
recO 1 1 1 1 1 1 1 1 1 1 1 1 1
era 1 1 1 1 1 1 1 1 1 1 1 1 1
rnc 1 1 1 1 1 1 1 1 1 1 1 1 1
lepB_2 1 1 1 1 1 1 1 1 1 1 1 1 1
lepA 1 1 1 1 1 1 1 1 1 1 1 1 1
fadM 1 1 1 1 1 1 1 1 1 1 1 1 1
copA 1 1 1 1 1 1 1 1 1 1 1 1 1
tilS 1 1 1 1 1 1 1 1 1 1 1 1 1
accA 1 1 1 1 1 1 1 1 1 1 1 1 1
ydfG 1 1 1 1 1 1 1 1 1 1 1 1 1
fabG_3 1 1 1 0 0 0 1 1 1 1 1 1 1
trmL 1 1 1 1 1 1 1 1 1 1 1 1 1
gpsA 1 1 1 1 1 1 1 1 1 1 1 1 1
secB 1 1 1 1 1 1 1 1 1 1 1 1 1
grxC 1 1 1 1 1 1 1 1 1 1 1 1 1
yibN 1 1 1 1 1 1 1 1 1 1 1 1 1
gpmI 1 1 1 1 1 1 1 1 1 1 1 1 1
envC 1 1 1 1 1 1 1 1 1 1 1 1 1
tyrP 1 1 1 1 1 1 1 1 1 1 1 1 1
thyA 1 1 1 1 1 1 1 1 1 1 1 1 1
lgt_2 1 1 1 1 1 1 1 1 1 1 1 1 1
ptsP 1 1 1 1 1 1 1 1 1 1 1 1 1
rppH 1 1 1 1 1 1 1 1 1 1 1 1 1
nrdB 1 1 1 1 1 1 1 1 1 1 1 1 1
aspS 1 1 1 1 1 1 1 1 1 1 1 1 1
ruvC 1 1 1 1 1 1 1 1 1 1 1 1 1
ruvA 1 1 1 1 1 1 1 1 1 1 1 1 1
ruvB 1 1 1 1 1 1 1 1 1 1 1 1 1
ycaD 1 1 1 1 1 1 1 1 1 1 1 1 1
tolQ 1 1 1 1 1 1 1 1 1 1 1 1 1
exbD 1 1 1 1 1 1 1 1 1 1 1 1 1
ynhG 1 1 1 1 1 1 1 1 1 1 1 1 1
zapE 1 1 1 1 1 1 1 1 1 1 1 1 1
mrpF 1 1 1 1 1 1 1 1 1 1 1 1 1
mrpE 1 1 1 1 1 1 1 1 1 1 1 1 1
mrpD 1 1 1 1 1 1 1 1 1 1 1 1 1
mrpC 1 1 1 1 1 1 1 1 1 1 1 1 1
mrpB 1 1 1 1 1 1 1 1 1 1 1 1 1
mrpA 1 1 1 1 1 1 1 1 1 1 1 1 1
nhaP 1 1 1 1 1 1 1 1 1 1 1 1 1
yqeY 1 1 1 1 1 1 1 1 1 1 1 1 1
dnaG 1 1 1 1 1 1 1 1 1 1 1 1 1
rpoD 1 1 1 1 1 1 1 1 1 1 1 1 1
rimK 1 1 1 1 1 1 1 1 1 1 1 1 1
yiaD 1 1 1 1 0 0 1 0 1 1 0 1 1
hldE_2 1 1 1 1 1 1 1 1 1 1 1 1 1
rfaF 1 1 1 1 1 1 1 1 1 1 1 1 1
rpoS 1 1 1 1 1 1 1 1 1 1 1 1 1
surE 1 1 1 1 1 1 1 1 1 1 1 1 1
ftsB 1 1 1 1 1 1 1 1 1 1 1 1 1
eno 1 1 1 1 1 1 1 1 1 1 1 1 1
kdsA 1 1 1 1 1 1 1 1 1 1 1 1 1
speG 1 1 1 1 1 1 1 1 1 1 1 1 1
pyrG 1 1 1 1 1 1 1 1 1 1 1 1 1
dcd 1 1 1 1 1 1 1 1 1 1 1 1 1
apbC 1 1 1 1 1 1 1 1 1 1 1 1 1
metG 1 1 1 1 1 1 1 1 1 1 1 1 1
rsxB 1 1 1 1 1 1 1 1 1 1 1 1 1
nth 1 1 1 1 1 1 1 1 1 1 1 1 1
pyrC 1 1 1 1 1 1 1 1 1 1 1 1 1
rnt 1 1 1 1 1 1 1 1 1 1 1 1 1
ahpC 1 1 1 1 1 1 1 1 1 1 1 1 1
sodB 1 1 1 1 1 1 1 1 1 1 1 1 1
dapB 1 1 1 1 1 1 1 1 1 1 1 1 1
gcvPB 1 1 1 1 1 1 1 1 1 1 1 1 1
gcvPA 1 1 1 1 1 1 1 1 1 1 1 1 1
gcvH 1 1 1 1 1 1 1 1 1 1 1 1 1
gcvT 1 1 1 1 1 1 1 1 1 1 1 1 1
groL 1 1 1 1 1 1 1 1 1 1 1 1 1
groS 1 1 1 1 1 1 1 1 1 1 1 1 1
acn 1 1 1 1 1 1 1 1 1 1 1 1 1
menE_1 1 1 1 1 1 1 1 1 1 1 1 1 1
dsbD 1 1 1 1 1 1 0 0 1 1 0 1 1
accB 1 1 1 1 1 1 1 1 1 1 1 1 1
accC 1 1 1 1 1 1 1 1 1 1 1 1 1
ocd 1 1 1 1 1 1 1 1 1 1 1 1 1
hemF 1 1 1 1 1 1 1 1 1 1 1 1 1
pdxB_1 1 1 1 1 1 1 1 1 1 1 1 1 1
hda 1 1 1 1 1 1 1 1 1 1 1 1 1
purM 1 1 1 1 1 1 1 1 1 1 1 1 1
purN 1 1 1 1 1 1 1 1 1 1 1 1 1
ihfB 1 1 1 1 1 1 1 1 1 1 1 1 1
rsmI 1 1 1 1 1 1 1 1 1 1 1 1 1
lpoA 1 1 1 1 1 1 1 1 1 1 1 1 1
gmhA 1 1 1 1 1 1 1 1 1 1 1 1 1
sspA 1 1 1 0 1 1 1 1 1 1 1 1 1
rpsI 1 1 1 1 1 1 1 1 1 1 1 1 1
rplM 1 1 1 1 1 1 1 1 1 1 1 1 1
emrD_1 1 0 1 1 1 1 1 1 1 1 1 1 1
rcsC_4 1 1 1 1 0 0 1 1 1 1 1 1 1
feoB 1 1 1 1 1 1 1 1 1 1 1 1 1
feoA 1 1 1 1 1 1 1 1 1 1 1 1 1
btuD_3 1 1 1 1 1 1 1 1 1 1 1 1 1
engB 1 1 1 1 1 1 1 1 1 1 1 1 1
cbbA 1 1 1 1 1 1 1 1 1 1 1 1 1
pykA 1 1 1 1 1 1 1 1 1 1 1 1 1
pgk 1 1 1 1 1 1 1 1 1 1 1 1 1
gapA 1 1 1 1 1 1 1 1 1 1 1 1 1
tktB 1 1 1 1 1 1 1 1 1 1 1 1 1
glmS 1 1 1 1 1 1 1 1 1 1 1 1 1
tetA 1 0 0 1 1 1 0 0 1 1 0 1 1
polA 1 1 1 1 1 1 1 1 1 1 1 1 1
yveA_4 1 1 1 1 0 0 1 1 1 1 1 1 1
macB 1 1 1 1 1 1 1 1 1 1 1 1 1
yknY 1 1 1 1 1 1 1 1 1 1 1 1 1
pdxB_2 1 1 1 1 1 1 1 1 1 1 1 1 1
ompA_2 1 1 1 1 1 1 1 1 1 1 1 1 1
priA 1 1 1 1 1 1 1 1 1 1 1 1 1
efp 1 1 1 1 1 1 1 1 1 1 1 1 1
epmA 1 1 1 1 1 1 1 1 1 1 1 1 1
sodC1 1 0 1 1 1 1 1 1 1 1 1 1 1
psd 1 1 1 1 1 1 1 1 1 1 1 1 1
cca 1 1 1 1 1 1 1 1 1 1 1 1 1
lolB 1 1 1 1 1 1 1 1 1 1 1 1 1
prs 1 1 1 1 1 1 1 1 1 1 1 1 1
rfbA 1 1 0 1 1 1 0 0 1 1 0 1 1
arnA 1 0 1 0 0 0 1 1 1 1 1 1 1
rmlC 1 1 1 1 1 1 1 1 1 1 1 1 1
lhgD 1 1 1 1 1 1 1 1 1 1 1 1 1
pth 1 1 1 1 1 1 1 1 1 1 1 1 1
ychF 1 1 1 1 1 1 1 1 1 1 1 1 1
yjdF 1 1 1 1 1 1 1 1 1 1 1 1 1
menB 1 1 1 1 1 1 1 1 1 1 1 1 1
gsiA 1 1 1 1 1 1 1 1 1 1 1 1 1
dppB 1 1 1 1 1 1 1 1 1 1 1 1 1
epmB 1 1 1 1 1 1 1 1 1 1 1 1 1
parC 1 1 1 1 1 1 1 1 1 1 1 1 1
coq7 1 1 1 1 1 1 1 1 1 1 1 1 1
pabA 1 1 1 1 1 1 1 1 1 1 1 1 1
rpe 1 1 1 1 1 1 1 1 1 1 1 1 1
djlA 1 1 1 1 1 1 1 1 1 1 1 1 1
gshB 1 1 1 1 1 1 1 1 1 1 1 1 1
rsmJ 1 1 1 1 1 1 1 1 1 1 1 1 1
erpA 1 1 1 1 1 1 1 1 1 1 1 1 1
def 1 1 1 1 1 1 1 1 1 1 1 1 1
rubA 1 1 1 1 1 1 1 1 1 1 1 1 1
hemL 1 1 1 1 1 1 1 1 1 1 1 1 1
mrcA 1 1 1 1 1 1 1 1 1 1 1 1 1
pilQ 1 1 0 0 0 0 1 1 1 1 1 1 1
aroK 1 1 1 1 1 1 1 1 1 1 1 1 1
aroB 1 1 1 1 1 1 1 1 1 1 1 1 1
