Gene_name GCF_000007925.1_ASM792v1_genomic.gff GCF_000011465.1_ASM1146v1_genomic.gff GCF_000012465.1_ASM1246v1_genomic.gff GCF_000012645.1_ASM1264v1_genomic.gff GCF_000015645.1_ASM1564v1_genomic.gff GCF_000015665.1_ASM1566v1_genomic.gff GCF_000015685.1_ASM1568v1_genomic.gff GCF_000015965.1_ASM1596v1_genomic.gff GCF_000018065.1_ASM1806v1_genomic.gff
aptA 1 1 0 0 1 0 0 0 0
dxs_2 1 0 0 0 0 0 0 0 0
fcl_2 1 0 0 0 1 1 0 0 0
fcf2 1 0 0 0 0 0 0 0 0
pcbF 1 0 0 0 0 0 0 0 0
arnT_2 1 1 1 1 1 1 1 1 0
mshA_2 1 0 1 0 0 1 1 1 0
sppA 1 0 0 0 0 0 0 0 0
aroH 1 1 1 1 1 1 1 1 1
rnpA 1 1 1 1 1 1 1 1 1
yidC 1 1 1 1 1 1 1 1 1
ftsH 1 1 1 1 1 1 1 1 1
serS 1 1 1 1 1 1 1 1 1
rpsN 1 1 1 1 1 1 1 1 1
pnp_2 1 1 1 0 1 1 1 1 1
cysQ_2 1 1 0 1 1 1 1 0 0
rsmI 1 1 1 1 1 1 1 1 1
rkpK 1 1 1 1 1 1 1 1 1
galE_1 1 1 0 1 0 0 0 1 0
wbgU 1 1 1 1 1 1 1 1 0
hisB_2 1 1 0 1 1 0 0 0 0
lhgD 1 1 0 0 1 0 0 0 0
cugP_2 1 1 0 0 1 0 0 1 1
gmhA 1 1 0 0 1 0 0 1 0
hldE 1 1 0 0 1 0 0 0 0
galE_2 1 1 0 1 0 0 0 1 0
pglH 1 1 0 0 1 0 0 0 0
pglK_2 1 0 0 0 1 0 0 0 1
lexA 1 1 1 1 1 1 1 1 1
argF 1 1 1 1 1 1 1 1 1
ftsH4 1 1 1 1 1 1 1 1 1
ribD 1 1 1 1 1 1 1 1 1
cbiET 1 1 1 1 1 1 1 1 1
nadK_2 1 1 1 1 1 1 1 1 1
pheS 1 1 1 1 1 1 1 1 1
surE 1 1 1 1 1 1 1 1 1
ribF 1 1 1 1 1 1 1 1 1
thiE 1 1 1 1 1 1 1 1 1
larB 1 1 1 1 1 1 1 1 1
trmD 1 1 1 1 1 1 1 1 1
era_2 1 1 1 0 1 0 1 1 1
ffh 1 1 1 1 1 1 1 1 1
acoA 1 1 1 0 1 1 1 1 1
hrdB 1 0 0 0 0 0 0 0 0
nnr 1 0 1 0 1 0 1 1 1
mnmA 1 1 1 1 1 1 1 1 1
lnt 1 1 1 1 1 1 1 1 1
sodN 1 1 1 1 1 1 1 1 1
trpC 1 1 0 1 1 1 0 1 1
lpdA 1 1 1 1 1 1 1 1 1
murAA_1 1 0 0 0 0 0 0 0 0
fpgS 1 0 1 0 0 0 1 0 0
codAch2 1 1 1 1 1 1 0 1 1
miaB 1 1 1 1 1 1 1 1 1
ddlA 1 0 0 1 0 1 0 0 1
ftsQ 1 0 0 0 0 0 0 0 0
ftsZ 1 1 1 1 1 1 1 1 1
panB 1 1 1 1 1 1 1 1 1
hemW 1 1 1 1 1 1 1 1 1
clpP_2 1 1 1 1 1 1 1 1 1
clpP_3 1 1 1 1 1 1 1 1 1
ilvC 1 1 1 1 1 1 1 1 1
cbiB 1 0 1 0 0 0 1 0 0
pglC 1 0 0 0 0 0 0 0 0
mshA_3 1 0 1 0 0 1 1 0 0
gluQ 1 0 0 0 0 0 0 0 0
hup 1 1 1 1 1 1 1 1 1
glgX 1 1 1 1 1 1 1 1 1
yicJ 1 0 0 0 1 0 0 1 1
mlaE 1 1 1 1 1 1 1 1 1
plsY 1 1 1 1 1 1 1 1 1
pyrF 1 1 1 1 1 1 1 1 1
tyrS 1 1 1 1 1 1 1 1 1
pepA 1 1 1 1 1 1 1 1 1
msrA_2 1 0 1 0 0 0 1 0 0
lpxB_2 1 1 1 1 1 1 1 1 0
lpxA 1 1 0 1 1 1 0 1 1
fabZ 1 1 1 1 1 1 1 1 1
lpxC 1 1 1 1 1 1 1 1 1
bamA 1 1 1 1 1 1 1 1 1
purC 1 1 1 1 0 1 1 1 1
purD 1 1 1 1 1 1 1 1 1
sasA_3 1 1 1 1 1 1 1 1 1
kaiC 1 1 1 1 1 1 1 1 1
kaiB 1 1 1 1 1 1 1 1 1
rpmA 1 1 1 1 1 1 1 1 1
truB 1 1 1 1 1 1 1 1 1
rnz 1 1 1 1 1 1 1 1 1
petF 1 1 1 1 0 1 1 0 1
rsmC 1 0 0 0 0 0 0 0 0
serA 1 1 1 1 1 1 1 1 1
murD 1 1 1 1 1 1 1 1 1
apt 1 1 1 1 1 1 1 1 0
pcbE 1 0 1 0 0 0 1 0 0
arnB 1 0 0 0 0 0 0 0 0
psbF 1 1 1 0 0 0 1 1 0
mntB_3 1 1 1 1 1 1 1 1 1
zur 1 1 1 0 0 1 1 0 1
mntB_4 1 1 0 1 0 0 0 1 0
yciC_3 1 0 0 0 0 0 0 0 0
selO_2 1 0 0 0 0 0 0 0 0
ggt 1 0 0 0 0 0 0 0 0
alsT 1 0 0 0 0 0 0 0 0
murAA_2 1 0 0 0 0 0 0 0 0
desR 1 0 0 0 0 0 0 0 0
sasA_4 1 1 0 1 0 1 0 1 0
clpS_1 1 0 1 1 1 0 1 1 1
pbpX 1 0 0 0 0 0 0 0 0
pstS 1 1 1 1 1 0 1 0 1
gap3 1 1 1 1 0 0 1 1 0
folE_2 1 0 0 0 0 0 0 0 0
rpoZ 1 1 1 1 1 1 1 1 1
dnaK 1 1 1 1 0 1 1 1 0
pyrR 1 1 0 1 1 1 0 1 1
gpmI 1 1 1 1 1 1 1 1 1
groL1 1 1 1 1 1 1 1 1 1
groS 1 1 1 1 1 1 1 1 1
atpD 1 1 1 1 1 1 1 1 1
atpC 1 1 1 1 1 1 1 1 1
pepP 1 1 1 1 1 1 1 1 1
der_2 1 1 1 1 1 1 1 0 1
nadD 1 1 1 1 1 1 1 1 1
nadE 1 1 1 1 1 1 1 1 1
ald 1 0 0 0 0 0 0 0 0
atpG_1 1 1 1 1 1 1 1 1 1
atpA 1 1 1 1 1 1 1 1 1
atpH_1 1 1 1 1 1 1 1 1 1
atpF 1 1 1 1 1 1 1 1 1
atpG_2 1 1 1 1 1 1 1 1 1
atpH_2 1 1 1 1 1 1 1 1 1
atpB 1 1 1 1 1 1 1 1 1
ftsW 1 1 1 1 1 1 1 1 1
dsbD_2 1 1 1 1 0 1 1 1 1
ccsB 1 1 1 1 1 1 1 1 1
queF 1 1 1 1 1 1 1 1 1
glnB 1 1 1 1 1 1 1 1 1
tlyA 1 1 1 1 1 1 1 1 1
purB 1 1 1 1 1 1 1 1 1
fumC 1 1 1 1 1 1 1 1 1
helY 1 1 1 0 0 1 1 0 0
bioF 1 1 1 1 1 1 1 1 1
tam_2 1 1 1 1 0 1 1 1 0
bioD 1 0 0 0 0 1 0 0 0
bioA 1 1 1 1 1 1 1 1 1
dnaJ_3 1 1 1 1 1 1 1 1 1
rsmG 1 1 1 1 1 1 1 1 1
rlmN 1 1 1 1 1 1 1 1 1
rpoC2 1 1 1 1 1 1 1 1 1
rpoC 1 1 1 1 1 1 1 1 1
rpoB 1 1 1 1 1 1 1 1 1
dtd3 1 1 1 1 1 1 1 1 1
rpsT 1 1 1 1 1 0 1 1 1
hisD 1 1 1 1 1 1 1 1 1
rpiA 1 1 1 1 1 1 1 1 1
hhoA_2 1 1 1 1 1 1 1 1 1
rimP 1 1 1 1 1 1 1 1 1
nusA 1 1 1 0 1 1 1 1 1
infB 1 1 1 1 1 1 1 1 1
clpS_2 1 0 1 1 1 0 1 1 1
dapL 1 1 1 1 1 1 1 1 1
rne 1 1 1 1 1 1 1 1 1
rnhB 1 1 1 1 1 1 1 1 1
pheA 1 1 1 1 1 1 1 1 1
lon2 1 1 1 1 1 1 1 1 1
rpsJ 1 1 1 1 1 1 1 1 1
tuf 1 1 1 1 1 1 1 1 1
fusA 1 1 1 1 1 1 1 1 1
rpsG 1 1 1 1 1 1 1 1 1
rpsL 1 1 1 1 1 1 1 1 1
gltS 1 1 1 1 1 1 1 1 1
lipA 1 1 1 1 1 1 1 1 1
cysG 1 0 1 0 1 0 1 1 1
psaA 1 1 1 1 1 1 1 1 1
psaB 1 1 1 1 1 1 1 1 1
rgtE 1 1 1 1 1 1 1 1 1
psaL 1 1 1 1 1 1 1 1 1
alr1 1 0 1 0 0 0 1 0 0
prfA 1 1 1 1 1 1 1 1 1
rpsI 1 1 1 1 1 1 1 1 1
rplM 1 1 1 1 1 1 1 1 1
truA 1 1 1 1 1 1 1 1 1
rplQ 1 1 1 1 1 1 1 1 1
rpoA 1 1 1 1 1 1 1 1 1
rpsK 1 1 1 1 1 1 1 1 1
rpsM 1 1 1 1 1 1 1 1 1
adk 1 1 1 1 1 1 1 1 1
secY 1 1 1 1 1 1 1 1 1
rplO 1 1 1 1 1 1 1 1 1
rplR 1 1 1 1 1 1 1 1 1
rplF 1 1 1 1 1 1 1 1 1
rpsH 1 1 1 1 1 1 1 1 1
rplE 1 1 1 1 1 1 1 1 1
rplX 1 1 1 1 1 1 1 1 1
rplN 1 1 1 1 1 1 1 1 1
rpsQ 1 1 0 1 1 1 1 1 1
rpsC 1 1 1 1 1 1 1 1 1
rplV 1 1 1 1 1 1 1 1 1
rpsS 1 1 1 1 1 1 1 1 1
rplB 1 1 1 1 1 1 1 1 1
rplW 1 1 1 1 1 1 1 1 1
rplD 1 1 1 1 1 1 1 1 1
rplC 1 1 1 1 1 1 1 1 1
ndhN 1 1 1 1 1 1 1 1 1
recA 1 1 1 1 1 1 1 1 1
tyrA 1 0 1 0 0 0 1 0 0
moeZ 1 1 1 1 1 1 1 1 1
larE 1 1 1 1 1 1 1 1 1
speH 1 1 1 1 1 1 1 1 1
recF 1 1 1 1 1 1 1 1 1
ppc 1 1 1 1 1 1 1 1 1
gshA 1 1 1 1 1 1 1 1 1
trpE 1 1 1 1 1 1 1 1 1
psaD 1 1 1 1 1 1 1 1 1
mrdB 1 1 1 1 1 1 1 1 1
hemF 1 1 1 1 1 1 1 1 1
rnd 1 1 1 1 1 1 1 1 1
purM 1 1 1 1 1 1 1 1 1
panC/cmk 1 1 1 1 1 1 1 1 1
pebB 1 1 1 1 1 1 1 1 1
pebA 1 1 1 1 1 1 1 1 1
pbsA1 1 1 1 1 1 1 1 1 1
icd 1 1 1 1 1 1 1 1 1
denK 1 1 0 0 0 0 0 0 0
lldD 1 0 1 0 0 0 1 0 0
dld 1 0 0 0 0 0 0 0 0
lip1 1 0 1 1 1 1 1 1 1
nhaS3 1 1 1 1 1 1 1 1 1
malP 1 1 1 1 1 1 1 1 1
rnc 1 1 1 1 1 1 1 1 1
rimM 1 1 1 1 1 1 1 1 1
algA 1 1 0 0 0 1 0 1 1
glmS 1 1 1 1 1 1 1 1 1
psaC 1 1 1 1 1 1 1 1 1
acpP 1 1 1 1 1 1 1 1 1
fabF 1 1 1 1 1 1 1 1 1
tkt 1 1 1 1 1 1 1 1 1
thiC 1 1 1 1 1 1 1 1 1
scmP 1 1 1 1 1 1 1 1 1
cpoB 1 1 0 0 0 0 0 0 1
ruvB 1 0 0 0 0 0 0 0 0
smpB 1 1 1 1 1 1 1 1 1
lysS 1 1 1 1 1 1 1 1 1
mprA 1 1 1 0 1 1 1 1 1
mreB 1 1 1 1 1 0 1 1 0
ahcY 1 1 1 1 1 1 1 1 1
scrK 1 1 1 1 1 1 1 1 1
mutY 1 0 1 0 0 0 1 0 0
menH 1 0 0 0 0 0 0 0 0
sigA2_2 1 1 1 1 1 1 1 1 1
crcB_1 1 1 1 1 1 1 1 1 1
crcB_2 1 1 1 1 1 1 1 1 1
gyrB 1 1 1 1 1 1 1 1 1
miaA 1 1 1 1 1 1 1 1 1
infC 1 1 1 1 1 1 1 1 1
cysE 1 1 1 1 1 1 1 1 1
secA 1 1 1 1 1 1 1 1 1
ribH 1 1 1 1 1 1 1 1 1
mutS 1 1 1 1 1 1 1 1 1
cbiC 1 0 1 0 0 0 1 1 0
uvrB 1 1 1 1 1 1 1 1 1
tilS 1 1 1 1 1 1 1 1 1
rnjA 1 0 1 1 1 0 1 1 0
dapA 1 1 1 1 1 1 1 1 1
asd 1 1 1 1 1 1 1 1 1
tig 1 1 1 1 1 1 1 1 1
clpP_4 1 1 1 1 1 1 1 1 1
clpX 1 1 1 1 1 1 1 1 1
dnaX 1 0 0 0 0 0 0 0 0
rpmI 1 1 1 1 1 1 1 1 1
rplT 1 1 1 1 1 1 1 1 1
thiG 1 1 1 1 1 1 1 1 1
mgtA 1 1 1 1 1 1 1 1 1
gcvP 1 1 1 1 1 1 1 1 1
gcvH 1 1 1 1 1 1 1 1 1
metZ 1 0 0 0 0 0 0 0 0
rplI 1 1 1 1 1 1 1 1 1
dnaB 1 1 1 1 1 1 1 1 1
mnmG 1 1 1 1 1 1 1 1 1
ligA 1 1 0 0 1 0 0 1 1
valS 1 1 1 1 1 1 1 1 1
mazG 1 1 1 1 1 1 1 1 1
speE 1 1 1 1 1 1 1 1 1
speB 1 1 1 1 1 1 1 1 1
gcvT 1 1 1 1 1 1 1 1 1
aspS 1 1 1 1 1 1 1 1 1
pyrG 1 1 1 1 1 1 1 1 1
queE 1 1 1 1 1 1 1 1 1
queC 1 1 1 1 1 1 1 1 1
menF 1 0 0 1 0 0 0 0 1
nasF 1 0 0 0 0 0 0 0 0
trpD 1 0 0 0 0 0 0 0 0
tetA 1 1 1 1 1 1 1 1 1
ppk 1 1 1 1 1 1 1 1 1
sigA2_3 1 1 1 0 1 1 1 1 1
vte5 1 1 1 1 1 1 1 1 1
aroG 1 1 1 1 1 1 0 1 1
acnB 1 1 1 1 1 1 1 1 1
clcA 1 1 0 1 1 1 1 1 1
thiO 1 0 0 0 0 0 0 0 0
dnaK2_2 1 1 1 1 1 1 1 1 1
ydiB 1 0 0 0 0 0 0 0 0
argG 1 1 1 1 1 1 1 1 1
mraY 1 1 1 1 1 1 1 1 1
susA 1 1 0 1 1 1 0 1 1
uvrA 1 1 1 1 1 1 1 1 1
recN 1 1 1 1 1 1 1 1 1
ubiB_3 1 1 1 1 1 1 1 1 1
thrC 1 1 1 1 1 1 1 1 1
ybaB 0 1 1 1 1 1 1 1 1
dfa5 0 1 0 1 1 1 0 1 1
hcnC 0 1 0 1 1 1 0 1 1
iscA 0 1 0 1 1 1 0 1 1
ecfA1 0 1 0 1 1 1 0 1 1
phoP 0 1 1 1 1 1 1 1 1
pacS 0 1 0 0 0 1 0 0 0
walR 0 1 1 0 1 1 1 1 1
plsC 0 1 0 0 0 0 0 1 0
ndhI 0 1 1 1 1 1 1 1 1
menF_1 0 1 1 0 1 1 1 1 0
dgkA 0 1 1 1 1 1 1 1 1
trpG 0 1 0 1 1 0 0 1 1
cobD_1 0 1 0 1 1 1 0 1 1
pcpF 0 1 1 1 1 1 1 1 1
ftsH3 0 1 1 1 1 1 1 1 1
glmM_1 0 1 0 1 1 0 0 1 1
leuD1 0 1 0 1 1 1 0 0 1
amtB 0 1 0 1 1 1 0 1 1
ispH 0 1 1 1 1 1 1 1 1
psbK 0 1 0 1 1 1 0 1 1
iolG 0 1 1 0 0 0 1 0 0
glmM_2 0 1 0 1 1 0 0 1 1
fdtB_1 0 1 0 0 0 0 0 0 0
phr 0 1 1 1 1 1 1 1 1
mkl 0 1 0 0 1 0 0 1 0
ndhK1 0 1 0 1 1 1 0 1 1
psbM 0 1 1 1 0 1 1 1 1
prmC_1 0 1 0 0 1 1 0 1 1
tatA 0 1 1 0 1 1 1 1 1
bcpB 0 1 0 0 0 1 0 0 0
pip 0 1 1 1 1 1 1 1 1
tenA 0 1 0 1 1 1 0 1 1
thiD 0 1 0 1 1 1 0 1 1
nrtB 0 1 0 0 0 0 0 0 0
nrtD 0 1 0 0 0 0 0 0 0
cynS 0 1 1 0 0 0 1 0 0
tatB 0 1 0 0 0 0 0 0 0
cbiL 0 1 1 1 1 1 1 1 1
yggS 0 1 1 0 0 0 0 0 0
bshA 0 1 1 1 1 1 1 1 1
cysK 0 1 1 0 0 0 1 0 0
metB 0 1 0 0 0 0 0 0 0
murE_1 0 1 0 1 0 0 0 0 0
arsM 0 1 0 1 1 1 0 1 1
phrB 0 1 1 1 1 1 1 1 1
fabG 0 1 1 1 0 0 1 1 0
COQ2 0 1 0 0 0 0 0 0 0
ppx 0 1 0 1 1 1 0 1 1
iolC 0 1 1 0 1 1 1 1 1
mgsR 0 1 0 1 1 1 1 1 1
folE 0 1 1 1 1 1 1 1 1
rip3 0 1 1 1 1 1 1 1 1
psaM 0 1 0 1 1 1 0 1 0
cbbL 0 1 1 1 1 1 1 1 1
ndhL 0 1 1 1 1 1 1 1 1
sipS 0 1 0 1 0 0 0 0 0
mnmC_1 0 1 1 1 1 1 1 1 1
bacC 0 1 0 1 1 1 0 1 1
perR 0 1 1 1 1 1 0 1 1
rluF 0 1 1 1 1 1 1 1 1
ecfA2 0 1 1 1 0 1 1 1 1
ftsE 0 1 1 0 0 0 1 0 1
ctpA 0 1 0 1 0 0 1 0 0
kefB 0 1 0 1 1 1 0 1 1
sphR 0 1 0 1 0 0 0 1 0
srpC 0 1 1 1 0 0 1 1 0
acr3 0 1 1 0 0 0 1 1 0
cshB 0 1 0 1 1 0 0 1 1
lig_1 0 1 0 1 1 1 0 1 1
ftsH2_1 0 1 1 1 1 1 1 1 1
kfoC 0 1 0 0 0 0 0 0 0
yodJ 0 1 0 0 0 0 0 1 0
ntdC 0 1 1 0 0 1 1 0 0
fbpC2 0 1 0 1 1 1 1 1 1
ylmA 0 1 1 1 1 1 1 1 1
ppaX 0 1 0 0 0 0 0 0 1
ftsH2_2 0 1 1 1 1 1 1 1 1
rpmG2 0 1 1 1 1 1 1 0 1
dxs 0 1 1 1 1 1 1 1 1
hdc 0 1 1 1 0 1 1 1 0
COQ5_1 0 1 1 1 1 0 1 0 1
msrA 0 1 0 1 1 1 0 1 1
ureC 0 1 1 1 1 0 1 1 1
ureB 0 1 1 1 1 0 1 1 1
ureA 0 1 1 1 1 0 1 1 1
ureD 0 1 1 1 1 0 1 1 1
ureE 0 1 1 1 1 0 1 1 1
ureF 0 1 1 1 1 0 1 1 1
ureG 0 1 1 1 1 0 1 1 1
amiC 0 1 1 1 1 0 1 1 1
livH 0 1 0 1 1 0 1 0 1
tcyN 0 1 0 1 0 0 0 0 1
livF 0 1 1 1 1 0 1 1 1
udk 0 1 1 1 1 0 1 1 1
pepN 0 1 1 1 1 1 1 1 1
dusB 0 1 1 0 1 1 1 0 0
hbpA 0 1 0 0 0 0 0 0 0
cbiA 0 1 0 1 1 1 0 1 1
zwf 0 1 0 1 1 1 1 1 1
menH_1 0 1 1 1 1 1 1 1 1
gldA 0 1 1 1 1 1 1 1 1
recD 0 1 0 1 1 1 0 1 1
tcrA 0 1 0 0 0 0 0 0 0
crtNb_1 0 1 0 0 0 1 0 0 1
selO 0 1 1 1 1 1 1 1 1
fdx4 0 1 0 1 1 0 0 1 0
menH_2 0 1 1 1 1 1 1 1 1
ppiA 0 1 0 0 0 0 0 0 0
psbD 0 1 1 0 0 0 1 0 0
mshA 0 1 0 0 1 0 0 0 1
rfbE 0 1 0 0 0 1 0 0 0
rfbJ 0 1 0 0 0 0 0 0 0
rfbG 0 1 0 0 0 1 0 0 0
rfbF 0 1 0 0 1 1 0 0 0
spnQ 0 1 0 0 0 1 0 0 0
fcl 0 1 0 1 0 0 0 1 1
COQ3_1 0 1 0 0 0 0 1 0 0
aptB 0 1 0 0 1 0 0 0 0
pglK 0 1 1 1 0 1 1 0 0
COQ5_2 0 1 1 1 1 0 1 0 1
COQ3_2 0 1 0 0 0 0 1 0 0
novN_1 0 1 0 0 0 0 0 0 1
novN_2 0 1 0 0 0 0 0 0 1
dapH 0 1 0 0 0 0 0 0 0
rfbB 0 1 0 0 1 0 0 0 0
fdtB_2 0 1 0 0 0 0 0 0 0
fdtB_3 0 1 0 0 0 0 0 0 0
galE1 0 1 1 1 0 1 1 0 0
ybeZ 0 1 0 1 1 1 0 1 1
CARKD 0 1 0 1 0 0 0 0 0
murAB 0 1 0 0 0 1 0 0 0
murE_2 0 1 0 1 0 0 0 0 0
ddl 0 1 1 0 1 0 1 1 0
yacL 0 1 1 1 1 1 1 1 1
cobD_2 0 1 0 1 1 1 0 1 1
yagG 0 1 1 1 0 1 1 0 0
msrA2 0 1 0 1 1 1 0 1 1
prmC_2 0 1 0 0 1 1 0 1 1
pdxH 0 1 0 1 1 0 0 1 1
acr1 0 1 0 1 1 0 0 1 1
yhhW 0 1 0 1 1 1 0 1 1
hxpA 0 1 1 0 0 0 1 0 0
bioD1 0 1 1 1 1 0 1 1 1
dnaJ_4 0 1 0 1 0 1 0 0 1
arnC 0 1 0 1 0 0 0 1 0
clpS 0 1 0 0 0 1 0 0 0
alr2 0 1 0 0 0 1 0 1 1
rpmC 0 1 1 1 0 0 1 0 0
rplP 0 1 1 1 1 1 1 1 1
tyrC 0 1 0 1 1 1 0 1 1
crtNb_2 0 1 0 0 0 1 0 0 1
apbC 0 1 0 1 1 1 0 1 0
menH_3 0 1 1 1 0 0 1 1 0
ruvB_1 0 1 1 1 1 1 1 1 1
ssb 0 1 1 1 1 1 1 1 1
dedA 0 1 0 1 1 1 0 1 1
menH_4 0 1 0 0 0 0 0 0 0
psbZ 0 1 0 0 1 1 0 1 1
cobH 0 1 0 1 1 1 0 0 1
rnj1 0 1 0 0 0 1 0 0 1
ruvB_2 0 1 1 1 1 1 1 1 1
lig_2 0 1 0 1 1 1 0 1 1
ydjZ 0 1 0 0 0 1 0 0 0
menF_2 0 1 1 0 1 1 1 1 0
sumT 0 1 1 1 1 1 1 1 1
sigA2_4 0 1 1 0 0 0 1 0 0
purU 0 1 1 1 1 1 1 1 1
mnmC_2 0 1 1 1 1 1 1 1 1
aroE 0 1 1 1 1 1 1 1 1
bepA_1 0 0 1 0 0 0 0 0 0
btuD_1 0 0 1 1 1 0 1 1 0
csd_1 0 0 1 0 0 0 1 0 0
bcp_1 0 0 1 0 1 0 1 1 1
suhB_1 0 0 1 0 0 0 0 1 1
fzlA 0 0 1 0 0 0 1 0 0
ycf3_1 0 0 1 0 0 0 0 0 0
cugP 0 0 1 1 0 1 1 0 0
agaA 0 0 1 0 0 0 1 0 0
srrA 0 0 1 1 0 1 1 1 1
gsiA 0 0 1 0 0 1 1 1 0
cbpA_1 0 0 1 0 0 0 1 0 0
psbA_1 0 0 1 1 1 1 1 0 1
dgoA 0 0 1 0 0 0 1 0 0
hisB 0 0 1 0 0 1 1 1 1
psbL 0 0 1 0 0 0 1 0 0
cca 0 0 1 0 0 0 1 0 0
cpoB_1 0 0 1 1 1 0 1 0 0
gph 0 0 1 0 0 0 0 0 0
ywlC 0 0 1 0 0 1 1 0 0
csd_2 0 0 1 0 0 0 1 0 0
ldcA 0 0 1 0 0 0 1 0 0
sdh 0 0 1 0 0 0 1 0 0
trpC_1 0 0 1 0 0 0 1 0 0
pyrC 0 0 1 1 1 0 1 1 1
sipT 0 0 1 0 1 1 1 1 1
acs 0 0 1 0 1 0 1 0 0
budC 0 0 1 0 0 0 1 0 0
yhhT 0 0 1 0 0 0 0 0 0
aaeA 0 0 1 0 0 0 1 0 0
mfd_1 0 0 1 0 0 0 1 0 0
sir_1 0 0 1 0 0 0 1 0 0
lpxD_1 0 0 1 0 0 0 1 0 1
yhfK 0 0 1 0 0 0 1 0 0
btuD_2 0 0 1 1 1 0 1 1 0
lnpD 0 0 1 0 1 0 1 0 1
garR 0 0 1 0 0 0 1 0 0
btuD_3 0 0 1 0 0 0 1 0 0
bcp_2 0 0 1 0 1 0 1 1 1
suhB_2 0 0 1 0 0 0 0 1 1
cbpA_2 0 0 1 0 0 0 1 0 0
purN_1 0 0 1 0 1 0 0 0 0
cobN 0 0 1 0 0 0 1 0 0
cbbY 0 0 1 0 1 0 1 1 1
recJ 0 0 1 0 0 0 0 0 0
mfd_2 0 0 1 0 0 0 1 0 0
kefC 0 0 1 0 0 0 1 0 0
ligA_1 0 0 1 0 0 1 1 0 0
ligA_2 0 0 1 0 0 1 1 0 0
sphR_1 0 0 1 0 0 0 1 0 0
sphS 0 0 1 0 0 0 1 0 0
crtI_1 0 0 1 0 0 0 0 0 0
psbA_2 0 0 1 1 1 1 1 0 1
nei 0 0 1 0 0 0 1 0 0
glnQ 0 0 1 1 1 1 1 1 0
crtI_2 0 0 1 0 0 0 0 0 0
sphR_2 0 0 1 0 0 0 1 0 0
gsiB 0 0 1 0 1 0 1 1 0
pcbB_1 0 0 1 0 0 0 1 0 0
pcbB_2 0 0 1 0 0 0 1 0 0
bcp_3 0 0 1 0 0 0 1 0 0
psbA_3 0 0 1 0 0 0 1 0 1
bepA_2 0 0 1 0 0 0 0 0 0
bcp_4 0 0 1 0 0 0 1 0 0
COQ3 0 0 1 0 0 0 0 0 0
mmpA 0 0 1 1 1 0 1 1 1
cysQ 0 0 1 0 0 0 0 1 1
cmoM 0 0 1 0 0 0 0 1 1
purN_2 0 0 1 0 1 0 0 0 0
cpoB_2 0 0 1 1 1 0 1 0 0
vioA 0 0 1 0 0 0 0 0 0
trpC_2 0 0 1 0 0 0 1 0 0
murAA 0 0 1 0 0 0 1 0 0
lpxD_2 0 0 1 0 0 0 1 0 1
cpoB_3 0 0 1 0 0 0 1 0 0
sglT 0 0 1 0 0 0 1 0 0
metN2 0 0 1 0 1 0 1 1 0
ycf3_2 0 0 1 0 0 0 0 0 0
cpoB_4 0 0 1 0 0 0 0 0 0
cpoB_5 0 0 1 0 0 0 0 0 0
ydjG 0 0 1 0 0 0 1 0 0
yeaD 0 0 1 0 0 0 1 0 0
manC1 0 0 1 0 1 0 1 0 0
cpoB_6 0 0 1 0 0 0 0 0 0
tsaE 0 0 1 0 0 0 1 0 0
gpx1 0 0 1 0 0 0 1 0 0
gmd_1 0 0 1 0 0 1 1 0 0
btuD_4 0 0 1 0 0 0 0 0 0
gmd_2 0 0 1 0 0 1 1 0 0
ycf3_3 0 0 1 0 0 0 0 0 0
cpoB_7 0 0 1 0 0 0 0 0 0
pseB 0 0 1 0 0 0 0 0 0
rffG 0 0 1 0 0 1 1 0 1
rmlA 0 0 1 0 0 0 0 0 0
rmlD 0 0 1 0 0 0 1 0 1
rfbC 0 0 1 0 0 0 1 0 0
ruvB_3 0 0 1 0 0 0 1 0 0
cpoB_8 0 0 1 0 0 0 0 0 0
ligA_3 0 0 1 0 0 0 1 0 0
sir_2 0 0 1 0 0 0 1 0 0
focA 0 0 1 0 0 0 1 0 0
ybiB 0 0 1 0 0 0 1 0 0
clcA_1 0 0 1 0 0 0 0 0 0
clcA_2 0 0 1 0 0 0 0 0 0
mshA_4 0 0 1 0 0 0 1 0 0
dfa3 0 0 0 1 0 0 0 1 0
yhdN 0 0 0 1 0 0 0 1 0
walR_1 0 0 0 1 0 0 0 0 0
bicA_1 0 0 0 1 1 1 0 1 1
psbI 0 0 0 1 1 1 0 0 1
fdtB 0 0 0 1 1 1 0 1 1
psbF_1 0 0 0 1 1 1 0 0 1
novN 0 0 0 1 0 1 0 0 0
psbT 0 0 0 1 1 0 0 0 1
vsr 0 0 0 1 1 1 0 0 1
xerC 0 0 0 1 1 0 0 0 0
pbpD 0 0 0 1 1 0 0 1 0
petC 0 0 0 1 1 0 0 1 0
sigA_1 0 0 0 1 0 0 0 0 0
nusA_1 0 0 0 1 0 0 0 0 0
yfeA 0 0 0 1 1 1 0 0 0
fabG2 0 0 0 1 0 0 0 0 0
ycaC 0 0 0 1 0 0 1 0 0
bicA_2 0 0 0 1 1 1 0 1 1
thiQ 0 0 0 1 0 1 0 0 0
ligB 0 0 0 1 1 0 0 1 1
ddpX_1 0 0 0 1 1 1 0 0 1
ddpX_2 0 0 0 1 1 1 0 0 1
